RackID,Address,Ward,Community Area,Community Name,TotInstall,Latitude,Longitude,Historical,F12,F13,LOCATION,Boundaries - ZIP Codes,Community Areas,Zip Codes,Census Tracts,Wards,:@computed_region_awaf_s7ux
5185,11250 S Ada St,34,75,Morgan Park,2,41.687054,-87.655762,1,41.687054,-87.655762,"(41.687054, -87.655762)",13,74,22212,663,22,45
5137,2140 N Clark St,43,7,Lincoln Park,1,41.920867,-87.637824,1,41.920867,-87.637824,"(41.920867, -87.637824)",16,68,21190,207,34,51
4484,1601 W North Ave,1,24,West Town,2,41.91058,-87.667759,1,41.91058,-87.667759,"(41.91058, -87.667759)",4,25,21560,482,11,24
706,1845 W Cortland St,32,22,Logan Square,1,41.915867,-87.674261,0,41.915867,-87.674261,"(41.915867, -87.674261)",4,23,21560,179,40,16
4726,1445 S Washtenaw Ave,28,29,North Lawndale,1,41.861764,-87.693108,1,41.861764,-87.693108,"(41.861764, -87.693108)",43,30,14920,16,23,11
1233,1999 W North Ave,1,24,West Town,1,41.910405,-87.677443,0,41.910405,-87.677443,"(41.910405, -87.677443)",4,25,21560,438,41,24
1407,2251 W 50th Pl,16,63,Gage Park,1,41.80193,-87.680903,1,41.80193,-87.680903,"(41.80193, -87.680903)",37,61,14924,775,3,19
4467,2235 N Sheffield Ave,43,7,Lincoln Park,1,41.922397,-87.653285,1,41.922397,-87.653285,"(41.922397, -87.653285)",16,68,21190,744,34,51
7280,1859 S Ashland Ave,25,22,Logan Square,1,41.856492,-87.665941,0,41.856492,-87.665941,"(41.856492, -87.665941)",43,33,14920,270,26,8
1251,2048 W Division St,1,24,West Town,1,41.903287,-87.678518,0,41.903287,-87.678518,"(41.903287, -87.678518)",4,25,21560,481,41,24
3435,12 S Michigan Ave,42,32,Loop,1,41.881866,-87.624658,1,41.881866,-87.624658,"(41.881866, -87.624658)",34,38,14311,367,36,22
2357,1825 N Clark St,43,7,Lincoln Park,1,41.915106,-87.633842,1,41.915106,-87.633842,"(41.915106, -87.633842)",16,68,21190,271,34,51
147,2016 W Roscoe St,32,5,North Center,2,41.943333,-87.679118,0,41.943333,-87.679118,"(41.943333, -87.679118)",39,46,21538,614,40,16
6203,111 S Halsted St,27,28,Near West Side,1,41.880337,-87.647151,1,41.880337,-87.647151,"(41.880337, -87.647151)",45,29,4452,786,46,41
4818,1731 W Erie St,1,24,West Town,1,41.893148,-87.67048,1,41.893148,-87.67048,"(41.893148, -87.67048)",4,25,21560,520,41,24
6966,11206 S Michigan Ave,9,49,Roseland,1,41.690531,-87.621196,0,41.690531,-87.621196,"(41.690531, -87.621196)",19,45,21861,253,43,30
2117,1630 W Barry Ave,32,6,Lake View,1,41.937994,-87.669441,1,41.937994,-87.669441,"(41.937994, -87.669441)",22,57,4449,711,40,16
686,2210 N Halsted St,43,7,Lincoln Park,1,41.922093,-87.648841,0,41.922093,-87.648841,"(41.922093, -87.648841)",16,68,21190,744,34,51
5105,1000 E 75th St,8,69,Greater Grand Crossing,1,41.757695,-87.599148,1,41.757695,-87.599148,"(41.757695, -87.599148)",61,67,21546,497,35,9
4987,1700 W 19th St,25,31,Lower West Side,1,41.85606,-87.668846,1,41.85606,-87.668846,"(41.85606, -87.668846)",43,33,14920,343,26,8
2,2024 S Western Ave,25,31,Lower West Side,1,41.854533,-87.685871,0,41.854533,-87.685871,"(41.854533, -87.685871)",43,33,14920,4,23,8
5186,10001 S Woodlawn Ave,8,50,Pullman,2,41.712854,-87.59227,1,41.712854,-87.59227,"(41.712854, -87.59227)",19,47,21861,643,35,9
739,1059 N Wolcott Ave,1,24,West Town,2,41.900624,-87.674547,0,41.900624,-87.674547,"(41.900624, -87.674547)",4,25,21560,462,11,24
1345,1405 W 18th St,25,31,Lower West Side,1,41.857721,-87.661587,1,41.857721,-87.661587,"(41.857721, -87.661587)",43,33,14920,365,26,8
6539,226 S Wabash Ave,42,32,Loop,1,41.879112,-87.626257,0,41.879112,-87.626257,"(41.879112, -87.626257)",29,38,14912,367,36,22
