month,day,year,apparentTemperatureHigh,apparentTemperatureHighTime,apparentTemperatureLow,apparentTemperatureLowTime,apparentTemperatureMax,apparentTemperatureMaxTime,apparentTemperatureMin,apparentTemperatureMinTime,cloudCover,dewPoint,humidity,moonPhase,precipIntensity,precipIntensityMax,precipProbability,pressure,sunriseTime,sunsetTime,temperatureHigh,temperatureHighTime,temperatureLow,temperatureLowTime,uvIndex,uvIndexTime,visibility,windBearing,windGust,windGustTime,windSpeed,precipIntensityMaxTime,precipAccumulation,daylight_duration,icon_clear-day,icon_cloudy,icon_fog,icon_partly-cloudy-day,icon_partly-cloudy-night,icon_rain,precipType_None,precipType_rain,precipType_snow
2.0,16.0,2017.0,39.04,17.0,31.84,6.0,39.04,17.0,27.98,2.0,0.76,19.57,0.52,0.69,0.0,0.0,0.0,1011.86,6.75,17.433333333333334,41.46,15.0,31.84,6.0,3.0,11.0,10.0,119.0,11.1,15.0,2.17,0.0,0.0,10.683333333333334,0,0,0,1,0,0,1,0,0
2.0,17.0,2017.0,65.9,16.0,43.89,7.0,65.9,16.0,31.84,6.0,0.08,34.45,0.59,0.72,0.0,0.0,0.0,1004.91,6.733333333333333,17.45,65.9,16.0,45.1,7.0,3.0,11.0,9.98,205.0,14.94,16.0,3.5,0.0,0.0,10.716666666666665,1,0,0,0,0,0,1,0,0
2.0,18.0,2017.0,68.74,15.0,36.73,7.0,68.74,15.0,43.89,7.0,0.03,37.22,0.54,0.75,0.0,0.0,0.0,1006.46,6.7,17.483333333333334,68.74,15.0,36.73,7.0,4.0,12.0,10.0,241.0,11.06,0.0,2.57,0.0,0.0,10.783333333333335,1,0,0,0,0,0,1,0,0
2.0,19.0,2017.0,63.54,13.0,45.06,3.0,63.54,13.0,36.73,7.0,0.07,35.6,0.61,0.78,0.0,0.0,0.0,1016.51,6.683333333333334,17.5,63.54,13.0,45.06,3.0,4.0,12.0,9.73,112.0,6.7,14.0,0.57,0.0,0.0,10.816666666666666,1,0,0,0,0,0,1,0,0
2.0,20.0,2017.0,68.07,14.0,53.76,7.0,68.07,14.0,45.06,3.0,0.44,45.48,0.69,0.81,0.0,0.0,0.0,1017.49,6.666666666666667,17.516666666666666,68.07,14.0,53.76,7.0,3.0,11.0,8.36,151.0,14.32,14.0,4.67,0.0,0.0,10.849999999999998,0,0,0,0,1,0,1,0,0
2.0,21.0,2017.0,64.59,16.0,52.25,2.0,64.59,16.0,53.76,7.0,0.81,52.07,0.81,0.84,0.0029,0.0266,0.94,1012.65,6.633333333333333,17.533333333333335,64.59,16.0,52.25,2.0,3.0,12.0,8.64,208.0,10.85,0.0,2.44,5.0,0.0,10.900000000000002,0,0,0,0,0,1,0,1,0
2.0,22.0,2017.0,66.38,16.0,46.77,7.0,66.38,16.0,52.25,2.0,0.55,53.43,0.85,0.87,0.0,0.0,0.0,1006.67,6.616666666666667,17.566666666666666,66.38,16.0,46.77,7.0,3.0,11.0,6.11,202.0,14.74,15.0,4.95,0.0,0.0,10.95,0,0,1,0,0,0,1,0,0
2.0,23.0,2017.0,50.1,9.0,32.73,20.0,57.56,0.0,31.67,19.0,0.58,41.28,0.86,0.9,0.0053,0.0463,1.0,1007.36,6.583333333333333,17.583333333333332,50.1,9.0,37.51,20.0,3.0,11.0,9.47,20.0,15.08,18.0,3.2,21.0,0.0,11.0,0,0,0,0,0,1,0,1,0
2.0,24.0,2017.0,40.2,15.0,13.12,8.0,40.2,15.0,29.97,23.0,0.99,37.47,0.94,0.93,0.0039,0.037,0.96,1000.11,6.566666666666666,17.6,40.3,7.0,22.58,8.0,3.0,11.0,6.45,345.0,15.15,1.0,3.3,2.0,0.0,11.033333333333335,0,0,0,0,0,1,0,1,0
2.0,25.0,2017.0,19.33,19.0,18.5,22.0,28.11,0.0,13.12,8.0,0.85,18.6,0.73,0.97,0.0,0.0,0.0,1010.77,6.533333333333333,17.616666666666667,26.71,17.0,23.57,2.0,3.0,11.0,9.44,282.0,17.85,15.0,6.97,0.0,0.0,11.083333333333334,0,0,0,1,0,0,1,0,0
2.0,26.0,2017.0,43.64,16.0,31.91,7.0,43.64,16.0,19.25,7.0,0.65,21.79,0.59,0.0,0.0,0.0,0.0,1016.6,6.5,17.633333333333333,47.62,16.0,31.91,7.0,3.0,11.0,10.0,212.0,24.06,13.0,5.85,0.0,0.0,11.133333333333333,0,0,0,1,0,0,1,0,0
2.0,27.0,2017.0,53.2,16.0,43.34,2.0,53.2,16.0,31.91,7.0,0.46,32.26,0.67,0.04,0.0,0.0,0.0,1019.75,6.483333333333333,17.666666666666668,53.2,16.0,46.27,2.0,4.0,11.0,10.0,175.0,11.38,23.0,2.64,0.0,0.0,11.183333333333334,0,0,0,0,1,0,1,0,0
2.0,28.0,2017.0,58.08,18.0,38.34,6.0,58.08,18.0,43.34,2.0,1.0,49.87,0.9,0.07,0.0308,0.184,1.0,1006.96,6.45,17.683333333333334,58.08,18.0,40.3,8.0,3.0,11.0,8.21,178.0,15.01,12.0,5.68,23.0,0.0,11.233333333333334,0,0,0,0,0,1,0,1,0
3.0,1.0,2017.0,40.52,9.0,24.53,8.0,53.7,0.0,23.91,18.0,0.96,37.58,0.89,0.11,0.015,0.2268,1.0,1004.16,6.433333333333334,17.7,40.52,9.0,29.27,3.0,3.0,11.0,7.03,293.0,21.28,17.0,5.45,0.0,0.0,11.266666666666666,0,0,1,0,0,0,0,1,0
3.0,2.0,2017.0,29.06,11.0,13.55,7.0,29.06,11.0,20.49,23.0,0.78,20.97,0.67,0.15,0.0,0.0005,0.0,1024.61,6.4,17.716666666666665,33.28,11.0,20.73,7.0,3.0,11.0,9.88,305.0,12.95,0.0,4.66,11.0,0.0,11.316666666666665,0,0,0,1,0,0,1,0,0
3.0,3.0,2017.0,31.57,16.0,23.91,6.0,31.57,16.0,13.55,7.0,0.29,9.75,0.48,0.19,0.0,0.0,0.0,1034.67,6.383333333333334,17.733333333333334,31.57,16.0,28.24,3.0,4.0,11.0,10.0,311.0,13.38,3.0,3.27,0.0,0.0,11.350000000000001,0,0,0,0,1,0,1,0,0
3.0,4.0,2017.0,34.67,15.0,25.9,21.0,34.67,15.0,23.91,6.0,0.62,26.43,0.76,0.22,0.0,0.0005,0.0,1032.66,6.35,17.766666666666666,39.69,15.0,32.76,23.0,4.0,11.0,9.24,120.0,16.56,20.0,6.12,10.0,0.0,11.416666666666666,0,0,0,1,0,0,1,0,0
3.0,5.0,2017.0,58.77,15.0,51.27,2.0,58.77,15.0,26.53,3.0,0.61,35.62,0.68,0.26,0.0,0.0,0.0,1021.87,6.316666666666666,17.783333333333335,58.77,15.0,51.27,2.0,4.0,12.0,10.0,172.0,17.47,22.0,6.34,0.0,0.0,11.466666666666669,0,0,0,1,0,0,1,0,0
3.0,6.0,2017.0,60.28,19.0,39.59,8.0,63.18,23.0,51.27,2.0,1.0,50.58,0.83,0.3,0.0,0.0,0.0,1010.89,6.3,17.8,60.28,19.0,44.52,8.0,3.0,11.0,9.87,186.0,27.49,23.0,9.26,0.0,0.0,11.5,0,0,0,0,0,1,1,0,0
3.0,7.0,2017.0,51.84,15.0,34.6,7.0,63.34,1.0,39.28,9.0,0.51,35.55,0.59,0.34,0.0082,0.1054,1.0,1009.61,6.266666666666667,17.816666666666666,51.84,15.0,40.55,6.0,5.0,12.0,9.76,237.0,26.85,0.0,7.87,3.0,0.0,11.55,0,0,0,1,0,0,0,1,0
3.0,8.0,2017.0,51.62,15.0,32.28,8.0,51.62,15.0,34.6,7.0,0.13,20.25,0.38,0.37,0.0,0.0,0.0,1016.19,6.233333333333333,17.833333333333332,51.62,15.0,32.54,5.0,5.0,11.0,10.0,256.0,33.98,13.0,9.45,0.0,0.0,11.599999999999998,0,0,0,0,1,0,1,0,0
3.0,9.0,2017.0,37.31,13.0,18.14,8.0,37.96,1.0,31.41,21.0,0.64,23.26,0.59,0.41,0.0,0.0,0.0,1021.82,6.216666666666667,17.85,39.57,14.0,26.62,7.0,3.0,10.0,10.0,19.0,10.12,15.0,2.95,0.0,0.0,11.633333333333335,0,0,0,1,0,0,1,0,0
3.0,10.0,2017.0,23.68,14.0,10.91,7.0,30.26,0.0,17.41,23.0,0.28,5.46,0.37,0.44,0.0,0.0,0.0,1028.89,6.183333333333334,17.883333333333333,29.9,14.0,17.65,6.0,5.0,11.0,10.0,331.0,16.22,8.0,6.25,0.0,0.0,11.7,0,0,0,1,0,0,1,0,0
3.0,11.0,2017.0,25.51,18.0,19.36,7.0,25.51,18.0,10.91,7.0,0.5,1.19,0.38,0.48,0.0,0.0,0.0,1032.83,6.15,17.9,28.27,15.0,19.36,7.0,4.0,11.0,10.0,350.0,10.57,8.0,3.44,0.0,0.0,11.749999999999998,0,0,0,1,0,0,1,0,0
3.0,12.0,2017.0,33.66,15.0,19.98,6.0,33.66,15.0,19.36,7.0,0.45,7.88,0.45,0.51,0.0,0.0,0.0,1030.6,7.133333333333334,18.916666666666668,33.66,15.0,26.23,7.0,4.0,12.0,9.54,78.0,10.67,19.0,1.22,0.0,0.0,11.783333333333335,0,0,0,0,1,0,1,0,0
3.0,13.0,2017.0,24.08,13.0,13.37,8.0,24.15,0.0,19.98,6.0,1.0,23.99,0.85,0.54,0.0006,0.0039,0.29,1023.9,7.1,18.933333333333334,29.49,16.0,21.09,8.0,3.0,11.0,4.2,76.0,13.17,18.0,4.5,13.0,0.13,11.833333333333334,0,0,1,0,0,0,0,0,1
